timestamp	metric	value
1589472048	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589472048	mqtt.connection.reconnects	0
1589472048	mqtt.message.published.total	2080
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	36.0
1589472058	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589472048	mqtt.publisher.qos1.puback.latency.95	877.0
1589472058	mqtt.connection.reconnects	0
1589472048	workers.pool2.ended	0
1589472048	mqtt.connection.reconnects.rps	0.0
1589472048	systemload.process_count.mzb_director192_0	247
1589472048	systemload.cpu.mzb_director192_0	100.0
1589472048	workers.pool1.ended	10
1589472048	logs.written.rps	3.295547056816829
1589472048	logs.dropped.mailbox_overflow.rps	0.0
1589472048	workers.pool2.failed	0
1589472048	systemload.la1.mzb_director192_0	0.46875
1589472048	mqtt.message.pub_to_sub.latency.qos1.50	792.0
1589472058	metric_merging_time	16.071
1589472048	systemload.interval.mzb_director192_0	10.0
1589472048	mqtt.consumer.current_total	10
1589472048	mqtt.consumer.suback.latency.max	1676
1589472058	systemload.nettx.pkts.eth0.mzb_director192_0	0.0
1589472058	systemload.netrx.pkts.eth0.mzb_director192_0	0.0
1589472048	mqtt.message.pub_to_sub.latency.qos1.95	1150.0
1589472048	mqtt.message.pub_to_sub.latency.qos1.min	475
1589472048	mqtt.publisher.qos1.puback.waiting	2
1589472048	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589472048	mqtt.publisher.qos1.puback.latency.75	721.0
1589472048	mqtt.connection.connack.latency.mean	7390.0
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	489
1589472048	mqtt.consumer.suback.latency.min	851
1589472048	workers.pool1.started	10
1589472048	workers.pool1.failed.rps	0.0
1589472048	errors.user	0
1589472048	errors.system	0
1589472048	workers.pool2.started	10
1589472048	mqtt.message.pub_to_sub.latency.qos1.75	884.0
1589472048	mqtt.message.pub_to_sub.latency.qos1.max	4436
1589472048	mqtt.message.pub_to_sub.latency.qos1.mean	818.0
1589472048	mqtt.message.pub_to_sub.latency.qos1.999	3510.0
1589472048	mqtt.publisher.qos1.puback.latency.90	809.0
1589472048	mqtt.publisher.qos1.puback.latency.999	1650.0
1589472048	mqtt.connection.current_total.rps	1.997301246555654
1589472048	mqtt.message.pub_to_sub.latency.qos1.99	1410.0
1589472048	mqtt.message.pub_to_sub.latency.qos1.90	1010.0
1589472048	mqtt.consumer.suback.errors	0
1589472048	mqtt.message.published.total.rps	207.71932964178802
1589472048	mqtt.connection.connack.latency.90	1.08e4
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	15.0
1589472048	systemload.dir_time_diff.mzb_director192_0	-7
1589472048	logs.written	33
1589472048	systemload.ram.mzb_director192_0	24.940983038940686
1589472068	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	26.0
1589472048	blocked.workers	0
1589472058	systemload.cpu.mzb_director192_0	100.0
1589472058	mqtt.message.pub_to_sub.latency.qos1.50	777.0
1589472058	errors.system	0
1589472058	systemload.interval.mzb_director192_0	10.004069
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589472048	workers.pool1.ended.rps	0.998650623277827
1589472068	systemload.nettx.pkts.eth0.mzb_director192_0	0.0
1589472058	workers.pool2.failed	0
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	25.0
1589472058	errors.user	0
1589472068	errors.user	0
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589472058	blocked.workers	0
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589472068	blocked.workers	0
1589472068	mqtt.message.pub_to_sub.latency.qos1.50	756.0
1589472058	mqtt.message.pub_to_sub.latency.qos1.mean	811.0
1589472078	mqtt.message.pub_to_sub.latency.qos1.50	754.0
1589472078	blocked.workers	0
1589472068	mqtt.message.pub_to_sub.latency.qos1.mean	789.0
1589472088	mqtt.message.pub_to_sub.latency.qos1.50	748.0
1589472048	mqtt.publisher.qos2.pubcomp.waiting	0
1589472048	mqtt.message.consumed.total.rps	207.71932964178802
1589472048	mqtt.consumer.current_total.rps	0.998650623277827
1589472058	logs.written	37
1589472098	mqtt.message.pub_to_sub.latency.qos1.50	748.0
1589472058	mqtt.message.pub_to_sub.latency.qos1.90	1030.0
1589472108	mqtt.message.pub_to_sub.latency.qos1.50	763.0
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	3
1589472068	mqtt.message.pub_to_sub.latency.qos1.90	984.0
1589472058	workers.pool2.started	10
1589472058	workers.pool1.ended	10
1589472048	mqtt.connection.connack.latency.max	11080
1589472068	workers.pool2.started	10
1589472048	mqtt.publisher.qos1.puback.latency.99	1050.0
1589472048	mqtt.publisher.qos1.puback.waiting.rps	0.1997301246555654
1589472048	mqtt.publisher.qos1.puback.latency.max	2614
1589472048	mqtt.connection.connack.latency.min	3230
1589472048	mqtt.publisher.qos1.puback.in.total	2076
1589472048	mqtt.connection.connack.latency.99	1.11e4
1589472068	workers.pool1.ended	10
1589472068	workers.pool2.failed	0
1589472078	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589472048	workers.pool1.started.rps	0.998650623277827
1589472078	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	23.0
1589472048	mqtt.connection.connack.latency.50	6.5e3
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	6.0
1589472048	workers.pool2.started.rps	0.998650623277827
1589472068	metric_merging_time	10.228
1589472048	mqtt.publisher.qos1.puback.latency.50	639.0
1589472068	errors.system	0
1589472048	mqtt.publisher.qos2.pubrec.in.total	0
1589472048	mqtt.connection.connack.latency.75	8740.0
1589472058	mqtt.message.pub_to_sub.latency.qos1.75	877.0
1589472048	mqtt.message.consumed.total	2080
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589472058	mqtt.consumer.suback.errors	0
1589472048	mqtt.consumer.suback.latency.mean	1170.0
1589472058	mqtt.message.pub_to_sub.latency.qos1.999	3510.0
1589472058	systemload.dir_time_diff.mzb_director192_0	-8
1589472058	mqtt.message.consumed.total.rps	1000.0020974874199
1589472058	mqtt.connection.current_total.rps	0.0
1589472078	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589472048	logs.dropped.mailbox_overflow	0
1589472058	systemload.netrx.bytes.eth0.mzb_director192_0	0.0
1589472068	systemload.cpu.mzb_director192_0	100.0
1589472068	systemload.interval.mzb_director192_0	10.003983
1589472078	errors.user	0
1589472078	systemload.nettx.pkts.eth0.mzb_director192_0	0.0
1589472048	mqtt.publisher.qos1.puback.latency.mean	660.0
1589472048	mqtt.publisher.qos2.pubrec.waiting	0
1589472048	mqtt.connection.connack.latency.999	1.11e4
1589472058	mqtt.connection.reconnects.rps	0.0
1589472058	logs.dropped.mailbox_overflow.rps	0.0
1589472048	blocked.workers.rps	0.0
1589472048	errors.user.rps	0.0
1589472068	mqtt.connection.reconnects	0
1589472048	logs.dropped.rate_limiter.rps	0.0
1589472058	mqtt.publisher.qos1.puback.latency.95	892.0
1589472058	mqtt.consumer.current_total.rps	0.0
1589472058	systemload.nettx.bytes.eth0.mzb_director192_0	0.0
1589472058	systemload.process_count.mzb_director192_0	236
1589472058	systemload.la1.mzb_director192_0	0.55859375
1589472048	mqtt.consumer.suback.errors.rps	0.0
1589472048	mqtt.publisher.qos1.puback.in.total.rps	207.31986939247687
1589472058	mqtt.message.pub_to_sub.latency.qos1.99	1410.0
1589472068	systemload.netrx.pkts.eth0.mzb_director192_0	0.0
1589472078	mqtt.message.pub_to_sub.latency.qos1.90	985.0
1589472058	mqtt.message.pub_to_sub.latency.qos1.95	1150.0
1589472058	mqtt.publisher.qos1.puback.waiting	1
1589472058	mqtt.message.pub_to_sub.latency.qos1.min	429
1589472048	mqtt.consumer.suback.latency.50	1020.0
1589473280	mqtt.connection.connack.latency.mean	5.36e4
1589472058	mqtt.publisher.qos1.puback.latency.75	730.0
1589472088	blocked.workers	0
1589472118	mqtt.message.pub_to_sub.latency.qos1.50	759.0
1589472058	workers.pool1.failed.rps	0.0
1589472058	workers.pool1.started	10
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.42
1589472068	logs.written	41
1589472058	mqtt.publisher.qos1.puback.latency.999	3150.0
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	243
1589472078	mqtt.message.pub_to_sub.latency.qos1.mean	789.0
1589472058	mqtt.message.published.total.rps	1000.1019778407446
1589473280	mqtt.connection.connack.latency.90	5.52e4
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589472048	mqtt.publisher.qos1.puback.latency.min	423
1589472088	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	25.0
1589472048	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589472048	logs.dropped.rate_limiter	0
1589473280	mqtt.connection.connack.latency.max	55200
1589472088	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589472058	mqtt.publisher.qos1.puback.latency.90	822.0
1589472058	mqtt.publisher.qos1.puback.in.total	12092
1589472048	mqtt.connection.connack.latency.95	1.08e4
1589472048	mqtt.consumer.suback.latency.99	1680.0
1589472078	workers.pool1.ended	10
1589472058	logs.written.rps	0.39952141329900914
1589472058	mqtt.publisher.qos2.pubcomp.waiting	0
1589472048	mqtt.consumer.suback.latency.90	1460.0
1589472058	mqtt.message.published.total	12093
1589473280	mqtt.connection.connack.latency.50	5.21e4
1589472068	mqtt.message.pub_to_sub.latency.qos1.75	852.0
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589472068	mqtt.consumer.suback.errors	0
1589472058	workers.pool2.started.rps	0.0
1589472088	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589472068	mqtt.message.consumed.total.rps	1000.0890921272523
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	7.0
1589473280	mqtt.connection.connack.latency.min	52032
1589472058	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589472048	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589472058	mqtt.publisher.qos1.puback.latency.99	1160.0
1589472068	mqtt.connection.current_total.rps	0.0
1589472068	systemload.dir_time_diff.mzb_director192_0	-1
1589472058	mqtt.publisher.qos2.pubrec.in.total	0
1589472068	mqtt.message.pub_to_sub.latency.qos1.999	3160.0
1589472078	systemload.interval.mzb_director192_0	10.004012000000001
1589472068	logs.dropped.mailbox_overflow.rps	0.0
1589472058	mqtt.message.consumed.total	12092
1589472088	errors.user	0
1589473280	mqtt.connection.connack.latency.75	5.52e4
1589472068	mqtt.consumer.current_total.rps	0.0
1589472068	mqtt.publisher.qos1.puback.latency.95	865.0
1589472058	errors.user.rps	0.0
1589472088	mqtt.message.pub_to_sub.latency.qos1.90	986.0
1589472078	systemload.netrx.pkts.eth0.mzb_director192_0	0.0
1589473310	mqtt.connection.connack.latency.mean	3490.0
1589472058	logs.dropped.rate_limiter.rps	0.0
1589472068	workers.pool1.started	10
1589472058	mqtt.publisher.qos1.puback.latency.mean	670.0
1589472068	systemload.la1.mzb_director192_0	0.46875
1589472058	mqtt.publisher.qos2.pubrec.waiting	0
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	13.0
1589472048	workers.pool2.failed.rps	0.0
1589472048	mqtt.consumer.suback.latency.95	1680.0
1589472048	workers.pool1.failed	0
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.14
1589472068	mqtt.publisher.qos1.puback.latency.75	701.0
1589472058	mqtt.consumer.suback.errors.rps	0.0
1589472068	mqtt.publisher.qos1.puback.latency.90	798.0
1589472098	blocked.workers	0
1589472068	mqtt.message.pub_to_sub.latency.qos1.95	1110.0
1589472078	errors.system	0
1589472078	metric_merging_time	11.272
1589472058	logs.dropped.rate_limiter	0
1589472048	errors.system.rps	0.0
1589472058	mqtt.consumer.current_total	10
1589472058	workers.pool1.ended.rps	0.0
1589473280	mqtt.connection.connack.latency.999	5.52e4
1589472058	mqtt.publisher.qos1.puback.in.total.rps	1000.4016189007189
1589472068	mqtt.message.pub_to_sub.latency.qos1.min	439
1589472058	mqtt.message.pub_to_sub.latency.qos1.max	6316
1589472058	mqtt.publisher.qos1.puback.latency.50	641.0
1589472048	systemload.director_ping.mzb_director192_0	20
1589472058	mqtt.publisher.qos1.puback.latency.min	364
1589472088	workers.pool1.ended	10
1589472068	workers.pool1.failed.rps	0.0
1589473310	mqtt.connection.connack.latency.max	4288
1589472058	workers.pool2.ended	0
1589472058	workers.pool1.started.rps	0.0
1589472058	blocked.workers.rps	0.0
1589472058	mqtt.publisher.qos1.puback.latency.max	6156
1589473310	mqtt.connection.connack.latency.50	2.7e3
1589472098	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	23.0
1589472078	workers.pool2.started	10
1589472048	mqtt.connection.current_total	20
1589472098	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589472098	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589472068	mqtt.publisher.qos1.puback.in.total	22105
1589472048	mqtt.consumer.suback.latency.75	1460.0
1589472048	workers.pool2.ended.rps	0.0
1589472068	workers.pool2.started.rps	0.0
1589472068	mqtt.connection.reconnects.rps	0.0
1589472128	mqtt.message.pub_to_sub.latency.qos1.50	746.0
1589472078	workers.pool2.failed	0
1589472068	systemload.process_count.mzb_director192_0	236
1589472078	mqtt.message.pub_to_sub.latency.qos1.75	851.0
1589472068	mqtt.publisher.qos1.puback.waiting	0
1589472078	mqtt.message.consumed.total.rps	1000.3863698930351
1589473310	mqtt.connection.connack.latency.min	2698
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	7.0
1589473280	mqtt.connection.connack.latency.99	5.52e4
1589472058	mqtt.publisher.qos1.puback.waiting.rps	-0.09988035332475229
1589472078	mqtt.consumer.suback.errors	0
1589472068	mqtt.publisher.qos1.puback.latency.99	1110.0
1589472068	mqtt.publisher.qos2.pubrec.in.total	0
1589472078	systemload.dir_time_diff.mzb_director192_0	-2
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589472068	mqtt.publisher.qos1.puback.latency.999	2830.0
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	68
1589472068	mqtt.message.consumed.total	22105
1589472088	mqtt.message.pub_to_sub.latency.qos1.mean	783.0
1589472078	systemload.cpu.mzb_director192_0	100.0
1589472078	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589472068	mqtt.message.pub_to_sub.latency.qos1.99	1350.0
1589472058	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589472068	mqtt.publisher.qos2.pubcomp.waiting	0
1589472068	mqtt.message.published.total	22107
1589472068	mqtt.message.published.total.rps	1000.1889711936786
1589472088	systemload.interval.mzb_director192_0	10.004963
1589472068	mqtt.publisher.qos1.puback.in.total.rps	1000.0890921272523
1589472088	errors.system	0
1589472098	errors.user	0
1589472068	errors.user.rps	0.0
1589472068	mqtt.publisher.qos1.puback.latency.mean	652.0
1589472078	logs.dropped.mailbox_overflow.rps	0.0
1589472108	blocked.workers	0
1589472078	mqtt.consumer.current_total.rps	0.0
1589472068	logs.dropped.rate_limiter	0
1589472058	workers.pool1.failed	0
1589472068	logs.dropped.rate_limiter.rps	0.0
1589472098	mqtt.message.pub_to_sub.latency.qos1.90	957.0
1589473310	mqtt.connection.connack.latency.999	4290.0
1589472078	mqtt.publisher.qos1.puback.latency.95	874.0
1589472068	mqtt.publisher.qos2.pubrec.waiting	0
1589472078	workers.pool1.failed.rps	0.0
1589472068	mqtt.consumer.suback.errors.rps	0.0
1589472098	workers.pool1.ended	10
1589472058	errors.system.rps	0.0
1589472088	mqtt.message.consumed.total.rps	999.8222094372829
1589473310	mqtt.connection.connack.latency.75	4290.0
1589472088	mqtt.consumer.suback.errors	0
1589472078	mqtt.publisher.qos1.puback.latency.90	804.0
1589472078	mqtt.publisher.qos2.pubrec.in.total	0
1589472078	mqtt.message.consumed.total	32120
1589472068	systemload.netrx.bytes.eth0.mzb_director192_0	0.0
1589472068	systemload.nettx.bytes.eth0.mzb_director192_0	0.0
1589472058	logs.dropped.mailbox_overflow	0
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.07
1589472068	blocked.workers.rps	0.0
1589473310	mqtt.connection.connack.latency.90	4290.0
1589472058	systemload.ram.mzb_director192_0	24.940983038940686
1589472078	mqtt.message.pub_to_sub.latency.qos1.999	3270.0
1589472048	mqtt.consumer.suback.latency.999	1680.0
1589473280	mqtt.connection.connack.latency.95	5.52e4
1589472058	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589473330	mqtt.connection.connack.latency.min	18976
1589472078	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	250
1589472068	logs.written.rps	0.3995162657054838
1589472108	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589472088	systemload.dir_time_diff.mzb_director192_0	-4
1589472068	mqtt.publisher.qos1.puback.waiting.rps	-0.09987906642637095
1589472078	mqtt.connection.reconnects	0
1589472068	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589472078	mqtt.connection.current_total.rps	0.0
1589472068	workers.pool1.ended.rps	0.0
1589472068	workers.pool2.ended	0
1589472078	logs.written	45
1589472048	systemload.time_offset.mzb_director192_0	0
1589472068	workers.pool1.started.rps	0.0
1589472068	mqtt.publisher.qos1.puback.latency.min	352
1589472088	mqtt.message.pub_to_sub.latency.qos1.75	843.0
1589472088	systemload.nettx.pkts.eth0.mzb_director192_0	0.0
1589472088	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589472078	mqtt.publisher.qos1.puback.latency.99	1.1e3
1589472048	systemload.message_queue.mzb_director192_0	0
1589472088	workers.pool2.started	10
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589472068	mqtt.message.pub_to_sub.latency.qos1.max	6900
1589472088	systemload.netrx.pkts.eth0.mzb_director192_0	0.0
1589472078	mqtt.publisher.qos1.puback.waiting	4
1589473330	mqtt.connection.connack.latency.mean	1.9e4
1589472108	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	24.0
1589472108	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589472078	mqtt.message.published.total	32120
1589472078	mqtt.publisher.qos1.puback.latency.999	2310.0
1589472098	systemload.interval.mzb_director192_0	10.003998
1589472098	errors.system	0
1589472078	errors.user.rps	0.0
1589472078	mqtt.publisher.qos2.pubcomp.waiting	0
1589472078	logs.dropped.rate_limiter.rps	0.0
1589472108	errors.user	0
1589472078	logs.dropped.rate_limiter	0
1589473310	mqtt.connection.connack.latency.99	4290.0
1589472088	mqtt.publisher.qos1.puback.latency.95	873.0
1589473330	mqtt.connection.connack.latency.50	1.9e4
1589472078	systemload.process_count.mzb_director192_0	236
1589472068	mqtt.consumer.current_total	10
1589472068	workers.pool1.failed	0
1589472088	logs.dropped.mailbox_overflow.rps	0.0
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	12.0
1589472078	workers.pool1.started	10
1589472088	mqtt.consumer.current_total.rps	0.0
1589472088	workers.pool1.failed.rps	0.0
1589472108	mqtt.message.pub_to_sub.latency.qos1.90	1010.0
1589472088	mqtt.publisher.qos1.puback.latency.90	802.0
1589472078	mqtt.consumer.suback.errors.rps	0.0
1589472078	mqtt.publisher.qos1.puback.latency.mean	648.0
1589472088	mqtt.publisher.qos2.pubrec.in.total	0
1589472108	workers.pool1.ended	10
1589472088	mqtt.message.consumed.total	42130
1589472118	blocked.workers	0
1589472098	mqtt.consumer.suback.errors	0
1589472098	mqtt.message.consumed.total.rps	999.8471762058347
1589472068	errors.system.rps	0.0
1589472078	mqtt.publisher.qos1.puback.latency.75	703.0
1589472078	systemload.la1.mzb_director192_0	0.48046875
1589472058	mqtt.connection.current_total	20
1589472098	mqtt.message.pub_to_sub.latency.qos1.mean	779.0
1589472088	systemload.cpu.mzb_director192_0	100.0
1589472088	workers.pool2.failed	0
1589472068	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589472058	workers.pool2.failed.rps	0.0
1589472078	mqtt.connection.reconnects.rps	0.0
1589472138	mqtt.message.pub_to_sub.latency.qos1.50	741.0
1589472078	mqtt.message.published.total.rps	1000.1865922854678
1589472078	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.06
1589472098	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589472068	mqtt.publisher.qos1.puback.latency.50	623.0
1589472078	workers.pool2.started.rps	0.0
1589472078	workers.pool1.started.rps	0.0
1589472088	metric_merging_time	10.844
1589473330	mqtt.connection.connack.latency.max	18976
1589472078	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.95	7.0
1589472098	mqtt.message.pub_to_sub.latency.qos1.75	836.0
1589472078	mqtt.message.pub_to_sub.latency.qos1.min	433
1589472058	systemload.time_offset.mzb_director192_0	0
1589472088	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	35
1589472088	mqtt.publisher.qos2.pubcomp.waiting	0
1589472078	logs.written.rps	0.39955521513451225
1589473340	mqtt.connection.connack.latency.min	2350
1589472098	systemload.dir_time_diff.mzb_director192_0	-3
1589472088	mqtt.publisher.qos1.puback.latency.99	1140.0
1589472058	systemload.message_queue.mzb_director192_0	0
1589472088	mqtt.message.published.total	42130
1589472108	systemload.interval.mzb_director192_0	10.004993
1589472088	errors.user.rps	0.0
1589472078	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	12.0
1589472088	mqtt.message.pub_to_sub.latency.qos1.999	3.3e3
