timestamp	metric	value
1589370310	mqtt.connection.current_total.rps	1.997256967281136
1589370310	mqtt.publisher.qos1.puback.latency.mean	421.0
1589370310	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589370310	mqtt.message.published.total	2006
1589370310	mqtt.message.pub_to_sub.latency.qos1.50	575.0
1589370310	mqtt.message.pub_to_sub.latency.qos1.99	1.5e3
1589370320	mqtt.message.pub_to_sub.latency.qos1.99	1.4e3
1589370330	mqtt.message.pub_to_sub.latency.qos1.99	1210.0
1589370310	mqtt.message.pub_to_sub.latency.qos1.75	686.0
1589370320	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589370310	mqtt.publisher.qos1.puback.latency.90	520.0
1589370320	mqtt.connection.current_total.rps	0.0
1589370310	mqtt.publisher.qos1.puback.latency.95	562.0
1589370310	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	4.0
1589370310	mqtt.connection.connack.latency.min	1095
1589370320	mqtt.message.pub_to_sub.latency.qos1.75	689.0
1589370320	mqtt.message.published.total	12024
1589370340	mqtt.message.pub_to_sub.latency.qos1.99	1210.0
1589370310	mqtt.message.pub_to_sub.latency.qos1.95	857.0
1589370310	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589370310	mqtt.publisher.qos1.puback.in.total	2003
1589370310	mqtt.message.pub_to_sub.latency.qos1.max	6576
1589370320	mqtt.publisher.qos1.puback.latency.90	529.0
1589370320	mqtt.publisher.qos1.puback.latency.95	575.0
1589370310	mqtt.publisher.qos2.pubrec.waiting	0
1589370320	mqtt.publisher.qos2.pubrec.waiting	0
1589370330	mqtt.publisher.qos2.pubrec.waiting	0
1589370330	mqtt.message.published.total	22035
1589370320	mqtt.message.pub_to_sub.latency.qos1.50	579.0
1589370310	mqtt.publisher.qos1.puback.latency.min	254
1589370320	systemload.netrx.pkts.eth0.mzb_director134_0	0.0
1589370310	mqtt.connection.reconnects	0
1589370310	mqtt.publisher.qos1.puback.waiting.rps	0.1997256967281136
1589370310	mqtt.message.pub_to_sub.latency.qos1.999	5640.0
1589370330	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589370320	metric_merging_time	17.127
1589370320	mqtt.publisher.qos1.puback.latency.mean	419.0
1589370320	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	4.0
1589370310	mqtt.publisher.qos1.puback.latency.75	463.0
1589370310	mqtt.message.pub_to_sub.latency.qos1.mean	613.0
1589370330	mqtt.message.pub_to_sub.latency.qos1.75	699.0
1589370330	mqtt.publisher.qos1.puback.latency.90	544.0
1589370340	mqtt.publisher.qos2.pubrec.waiting	0
1589370310	mqtt.consumer.suback.latency.min	546
1589370310	mqtt.message.pub_to_sub.latency.qos1.90	764.0
1589370310	mqtt.publisher.qos1.puback.latency.99	988.0
1589370350	mqtt.message.pub_to_sub.latency.qos1.99	1160.0
1589370310	systemload.message_queue.mzb_director134_0	0
1589370310	mqtt.publisher.qos2.pubrec.in.total	0
1589370310	mqtt.connection.connack.latency.50	8.2e3
1589370310	mqtt.connection.connack.latency.75	1.06e4
1589370310	mqtt.consumer.suback.latency.95	1.5e3
1589370320	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589370310	workers.pool2.ended	0
1589370310	mqtt.publisher.qos2.pubcomp.waiting	0
1589370330	mqtt.publisher.qos1.puback.latency.95	599.0
1589370310	mqtt.connection.connack.latency.90	1.11e4
1589370310	mqtt.connection.connack.latency.95	1.13e4
1589370310	mqtt.connection.current_total	20
1589370340	mqtt.message.published.total	32046
1589370310	mqtt.connection.connack.latency.99	1.15e4
1589370310	mqtt.connection.connack.latency.mean	7630.0
1589370330	mqtt.connection.current_total.rps	0.0
1589370310	mqtt.message.published.total.rps	200.32487381829796
1589370310	mqtt.message.pub_to_sub.latency.qos1.min	330
1589370310	mqtt.consumer.suback.latency.75	1070.0
1589370310	mqtt.consumer.suback.latency.50	780.0
1589370310	mqtt.consumer.suback.latency.99	1.5e3
1589370310	mqtt.consumer.current_total	10
1589370310	mqtt.consumer.suback.errors	0
1589370310	mqtt.consumer.suback.latency.999	1.5e3
1589370320	mqtt.message.pub_to_sub.latency.qos1.95	839.0
1589370320	mqtt.message.pub_to_sub.latency.qos1.max	8280
1589370310	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	400
1589370310	mqtt.connection.connack.latency.999	1.15e4
1589370320	mqtt.publisher.qos1.puback.in.total	12022
1589370310	mqtt.publisher.qos1.puback.latency.50	379.0
1589370350	mqtt.publisher.qos2.pubrec.waiting	0
1589370310	mqtt.connection.connack.latency.max	11504
1589370330	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	2
1589370310	mqtt.connection.reconnects.rps	0.0
1589370340	mqtt.publisher.qos1.puback.latency.90	527.0
1589370310	mqtt.consumer.suback.errors.rps	0.0
1589370310	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	15.0
1589370320	systemload.message_queue.mzb_director134_0	2
1589370320	workers.pool2.ended	0
1589370340	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589370310	mqtt.consumer.current_total.rps	0.998628483640568
1589370330	mqtt.message.pub_to_sub.latency.qos1.max	4188
1589370320	mqtt.publisher.qos1.puback.latency.min	250
1589370330	mqtt.message.pub_to_sub.latency.qos1.50	587.0
1589370320	mqtt.connection.reconnects	0
1589370360	mqtt.message.pub_to_sub.latency.qos1.99	1140.0
1589370310	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589370320	mqtt.message.pub_to_sub.latency.qos1.999	3550.0
1589370360	mqtt.publisher.qos2.pubrec.waiting	0
1589370340	mqtt.publisher.qos1.puback.latency.95	575.0
1589370350	mqtt.publisher.qos1.puback.latency.90	531.0
1589370330	mqtt.message.pub_to_sub.latency.qos1.95	851.0
1589370330	mqtt.publisher.qos1.puback.in.total	22035
1589370350	mqtt.message.published.total	42055
1589370320	mqtt.publisher.qos2.pubrec.in.total	0
1589370350	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589370340	mqtt.message.pub_to_sub.latency.qos1.75	688.0
1589370320	mqtt.publisher.qos2.pubcomp.waiting	0
1589370330	systemload.message_queue.mzb_director134_0	1
1589370310	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.mean	5.12
1589370310	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
