timestamp	metric	value
1589790269	mqtt.message.pub_to_sub.latency.qos1.99	1.76e6
1589790279	mqtt.message.pub_to_sub.latency.qos1.99	1.95e6
1589790269	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589790289	mqtt.message.pub_to_sub.latency.qos1.99	4.21e4
1589790279	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589790269	mqtt.publisher.qos1.puback.latency.max	1880064
1589790269	mqtt.message.pub_to_sub.latency.qos1.min	1003
1589790269	mqtt.message.pub_to_sub.latency.qos1.50	3.94e4
1589790269	mqtt.publisher.qos1.puback.latency.99	1.75e6
1589790269	mqtt.publisher.qos1.puback.latency.999	1.86e6
1589790269	mqtt.publisher.qos1.puback.latency.mean	3.77e5
1589790269	mqtt.publisher.qos1.puback.latency.75	7.21e5
1589790289	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589790269	mqtt.publisher.qos1.puback.in.total.rps	225.46550542449646
1589790299	mqtt.message.pub_to_sub.latency.qos1.99	4.22e4
1589790269	mqtt.publisher.qos1.puback.waiting	412
1589790309	mqtt.message.pub_to_sub.latency.qos1.99	4.2e4
1589790279	mqtt.publisher.qos1.puback.latency.mean	5.87e4
1589790279	mqtt.publisher.qos1.puback.latency.max	2430976
1589790279	mqtt.publisher.qos1.puback.latency.999	2.38e6
1589790319	mqtt.message.pub_to_sub.latency.qos1.99	4.22e4
1589790279	mqtt.publisher.qos1.puback.latency.99	1.92e6
1589790279	mqtt.publisher.qos1.puback.in.total.rps	1041.565991272891
1589790269	mqtt.message.pub_to_sub.latency.qos1.90	1.07e6
1589790269	mqtt.connection.connack.latency.max	67584
1589790289	mqtt.publisher.qos1.puback.latency.max	30496
1589790289	mqtt.publisher.qos1.puback.latency.mean	1460.0
1589790279	mqtt.publisher.qos1.puback.waiting	2
1589790299	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589790329	mqtt.message.pub_to_sub.latency.qos1.99	4.21e4
1589790289	mqtt.publisher.qos1.puback.latency.99	4820.0
1589790269	mqtt.connection.connack.latency.75	5.96e4
1589790269	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589790289	mqtt.publisher.qos1.puback.latency.999	2.28e4
1589790269	mqtt.publisher.qos2.pubcomp.waiting	0
1589790279	mqtt.message.pub_to_sub.latency.qos1.90	4.05e4
1589790289	mqtt.publisher.qos1.puback.in.total.rps	1000.1093479516732
1589790269	mqtt.connection.connack.latency.999	6.76e4
1589790289	mqtt.publisher.qos1.puback.waiting	3
1589790269	mqtt.connection.connack.latency.min	48096
1589790299	mqtt.publisher.qos1.puback.latency.mean	1430.0
1589790269	mqtt.connection.current_total.rps	1.9961532131429522
1589790309	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589790289	mqtt.message.pub_to_sub.latency.qos1.90	3.81e4
1589790279	mqtt.publisher.qos2.pubcomp.waiting	0
1589790299	mqtt.publisher.qos1.puback.latency.99	3.0e3
1589790319	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589790309	mqtt.publisher.qos1.puback.latency.mean	1350.0
1589790269	mqtt.connection.reconnects	0
1589790289	mqtt.publisher.qos2.pubcomp.waiting	0
1589790309	mqtt.publisher.qos1.puback.latency.99	2830.0
1589790329	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589790269	mqtt.message.published.total.rps	266.88568459721273
1589790319	mqtt.publisher.qos1.puback.latency.mean	1430.0
1589790279	mqtt.connection.current_total.rps	0.0
1589790299	mqtt.message.pub_to_sub.latency.qos1.90	3.81e4
1589790299	mqtt.publisher.qos2.pubcomp.waiting	0
1589790269	mqtt.message.consumed.total.rps	215.0855087161531
1589790269	mqtt.consumer.suback.latency.min	13112
1589790309	mqtt.message.pub_to_sub.latency.qos1.90	3.81e4
1589790319	mqtt.publisher.qos1.puback.latency.99	4260.0
1589790329	mqtt.publisher.qos1.puback.latency.mean	1410.0
1589790279	mqtt.message.published.total.rps	1000.4305245930185
1589790289	mqtt.connection.current_total.rps	0.0
1589790279	mqtt.message.pub_to_sub.latency.qos1.50	2.31e4
1589790269	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589790299	mqtt.publisher.qos1.puback.waiting	1
1589790269	mqtt.connection.connack.latency.95	6.67e4
1589790269	mqtt.connection.reconnects.rps	0.0
1589790279	mqtt.message.pub_to_sub.latency.qos1.min	981
1589790269	mqtt.message.published.total	2674
1589790279	mqtt.connection.reconnects	0
1589790269	mqtt.connection.connack.latency.99	6.76e4
1589790269	mqtt.consumer.suback.latency.999	2.19e4
1589790269	mqtt.connection.connack.latency.50	5.88e4
1589790269	mqtt.connection.connack.latency.mean	5.87e4
1589790309	mqtt.publisher.qos2.pubcomp.waiting	0
1589790319	mqtt.message.pub_to_sub.latency.qos1.90	3.81e4
1589790329	mqtt.publisher.qos1.puback.latency.99	3720.0
1589790289	mqtt.message.published.total.rps	1000.1093479516732
1589790269	mqtt.consumer.current_total	10
1589790279	mqtt.message.consumed.total.rps	1049.8529906283022
1589790309	mqtt.publisher.qos1.puback.waiting	3
1589790299	mqtt.connection.current_total.rps	0.0
1589790269	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.999	31.0
1589790279	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589790269	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.90	6.0
1589790299	mqtt.message.published.total.rps	999.7809109749621
1589790319	mqtt.publisher.qos2.pubcomp.waiting	0
1589790329	mqtt.message.pub_to_sub.latency.qos1.90	3.81e4
1589790309	mqtt.message.published.total.rps	1000.2095876933781
1589790279	mqtt.connection.reconnects.rps	0.0
1589790289	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589790309	mqtt.connection.current_total.rps	0.0
1589790269	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	1
1589790319	mqtt.publisher.qos1.puback.waiting	1
1589790339	mqtt.message.pub_to_sub.latency.qos1.99	4.2e4
1589790329	mqtt.publisher.qos2.pubcomp.waiting	0
1589790319	mqtt.message.published.total.rps	999.9147181494757
1589790269	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	3.0
1589790319	mqtt.connection.current_total.rps	0.0
1589790289	mqtt.message.consumed.total.rps	1000.4089313809149
1589790279	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.min	1
1589790279	mqtt.message.published.total	12694
1589790289	mqtt.connection.reconnects.rps	0.0
1589790289	mqtt.message.pub_to_sub.latency.qos1.min	917
1589790349	mqtt.message.pub_to_sub.latency.qos1.99	4.21e4
1589790289	mqtt.message.published.total	22709
1589790299	mqtt.message.published.total	32721
1589790299	mqtt.message.consumed.total.rps	999.581194452594
1589790329	mqtt.message.published.total.rps	1000.033953619356
1589790309	mqtt.message.published.total	42738
1589790299	mqtt.connection.reconnects.rps	0.0
1589790309	mqtt.connection.reconnects.rps	0.0
1589790319	mqtt.connection.reconnects.rps	0.0
1589790329	mqtt.connection.reconnects.rps	0.0
1589790309	mqtt.message.consumed.total.rps	1000.8086949636347
1589790319	mqtt.message.consumed.total.rps	999.9147181494757
1589790329	mqtt.message.consumed.total.rps	999.8342264466738
1589790319	mqtt.message.published.total	52751
1589790329	mqtt.message.published.total	62765
1589790269	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	231
1589790279	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	40
1589790289	mqtt.message.pub_to_sub.latency.qos1.50	2.18e4
1589790289	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	76
1589790299	mqtt.message.pub_to_sub.latency.qos1.50	2.19e4
1589790309	mqtt.message.pub_to_sub.latency.qos1.50	2.18e4
1589790319	mqtt.message.pub_to_sub.latency.qos1.50	2.19e4
1589790269	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	16.0
