timestamp	metric	value
1589406138	mqtt.publisher.qos1.puback.latency.50	593.0
1589406148	mqtt.publisher.qos1.puback.latency.50	586.0
1589406158	mqtt.publisher.qos1.puback.latency.50	584.0
1589406138	logs.written	33
1589406138	systemload.la1.mzb_director148_0	0.26953125
1589406138	systemload.process_count.mzb_director148_0	247
1589406148	systemload.netrx.pkts.eth0.mzb_director148_0	0.0
1589406138	systemload.interval.mzb_director148_0	10.0
1589406168	mqtt.publisher.qos1.puback.latency.50	579.0
1589406138	systemload.cpu.mzb_director148_0	100.0
1589406148	logs.written	37
1589406148	systemload.process_count.mzb_director148_0	236
1589406158	logs.written	41
1589406178	mqtt.publisher.qos1.puback.latency.50	580.0
1589406138	mqtt.message.pub_to_sub.latency.qos1.90	1090.0
1589406158	systemload.process_count.mzb_director148_0	236
1589406138	mqtt.publisher.qos2.pubrec.waiting	0
1589406138	mqtt.message.pub_to_sub.latency.qos1.95	1170.0
1589406138	mqtt.connection.connack.latency.mean	5120.0
1589406138	workers.pool2.failed	0
1589406138	workers.pool2.started.rps	0.9985500055369598
1589406148	systemload.cpu.mzb_director148_0	100.0
1589406138	blocked.workers.rps	0.0
1589406168	systemload.process_count.mzb_director148_0	236
1589406148	mqtt.publisher.qos2.pubrec.waiting	0
1589406168	logs.written	45
1589406138	errors.system.rps	0.0
1589406138	logs.dropped.mailbox_overflow.rps	0.0
1589406138	mqtt.message.pub_to_sub.latency.qos1.75	963.0
1589406148	mqtt.message.pub_to_sub.latency.qos1.95	1180.0
1589406148	systemload.nettx.bytes.eth0.mzb_director148_0	0.0
1589406138	mqtt.publisher.qos1.puback.latency.max	2932
1589406138	mqtt.publisher.qos1.puback.in.total.rps	216.5854962009666
1589406138	mqtt.publisher.qos1.puback.latency.999	2180.0
1589406158	systemload.cpu.mzb_director148_0	100.0
1589406148	mqtt.message.pub_to_sub.latency.qos1.90	1.1e3
1589406178	systemload.process_count.mzb_director148_0	236
1589406158	mqtt.message.pub_to_sub.latency.qos1.95	1180.0
1589406148	workers.pool2.started.rps	0.0
1589406178	logs.written	49
1589406158	systemload.nettx.bytes.eth0.mzb_director148_0	0.0
1589406148	errors.system.rps	0.0
1589406138	mqtt.message.pub_to_sub.latency.qos1.99	1440.0
1589406138	logs.written.rps	3.2952150182719673
1589406138	systemload.director_ping.mzb_director148_0	13
1589406138	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589406138	mqtt.consumer.suback.latency.max	1839
1589406138	mqtt.connection.connack.latency.999	1.2e4
1589406148	systemload.interval.mzb_director148_0	10.00499
1589406138	mqtt.message.pub_to_sub.latency.qos1.999	3040.0
1589406188	systemload.process_count.mzb_director148_0	236
1589406138	mqtt.publisher.qos1.puback.latency.min	401
1589406138	errors.user.rps	0.0
1589406138	mqtt.publisher.qos1.puback.latency.90	774.0
1589406138	mqtt.message.consumed.total	2168
1589406148	systemload.la1.mzb_director148_0	0.21875
1589406148	systemload.nettx.pkts.eth0.mzb_director148_0	0.0
1589406138	mqtt.message.pub_to_sub.latency.qos1.mean	854.0
1589406138	mqtt.connection.connack.latency.90	1.04e4
1589406138	mqtt.connection.connack.latency.99	1.2e4
1589406138	mqtt.publisher.qos1.puback.latency.99	1060.0
