timestamp	metric	value
1589397684	mqtt.publisher.qos1.puback.latency.99	802.0
1589397684	mqtt.message.pub_to_sub.latency.qos1.95	1130.0
1589397684	mqtt.message.pub_to_sub.latency.qos1.999	3420.0
1589397684	mqtt.message.pub_to_sub.latency.qos1.min	393
1589397684	mqtt.message.pub_to_sub.latency.qos1.50	795.0
1589397694	mqtt.publisher.qos1.puback.latency.99	811.0
1589397694	mqtt.message.pub_to_sub.latency.qos1.95	1110.0
1589397704	mqtt.message.pub_to_sub.latency.qos1.95	1160.0
1589397694	mqtt.message.pub_to_sub.latency.qos1.min	342
1589397704	mqtt.publisher.qos1.puback.latency.99	898.0
1589397694	mqtt.message.pub_to_sub.latency.qos1.999	4670.0
1589397684	mqtt.publisher.qos1.puback.latency.mean	453.0
1589397704	mqtt.message.pub_to_sub.latency.qos1.min	348
1589397704	mqtt.message.pub_to_sub.latency.qos1.999	5840.0
1589397714	mqtt.message.pub_to_sub.latency.qos1.95	1150.0
1589397714	mqtt.message.pub_to_sub.latency.qos1.min	354
1589397714	mqtt.publisher.qos1.puback.latency.99	981.0
1589397684	mqtt.consumer.current_total	10
1589397714	mqtt.message.pub_to_sub.latency.qos1.999	4850.0
1589397724	mqtt.message.pub_to_sub.latency.qos1.min	355
1589397694	mqtt.publisher.qos1.puback.latency.mean	450.0
1589397724	mqtt.publisher.qos1.puback.latency.99	938.0
1589397684	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.50	5.0
1589397724	mqtt.message.pub_to_sub.latency.qos1.95	1120.0
1589397724	mqtt.message.pub_to_sub.latency.qos1.999	6040.0
1589397684	workers.pool1.started.rps	0.9986160180605699
1589397684	mqtt.connection.connack.latency.75	2.86e4
1589397684	mqtt.publisher.qos1.puback.in.total	2091
1589397684	mqtt.consumer.suback.latency.max	1556
1589397684	mqtt.message.pub_to_sub.latency.qos1.max	6252
1589397684	mqtt.publisher.qos1.puback.latency.999	1020.0
1589397684	mqtt.consumer.suback.latency.min	892
1589397684	mqtt.message.pub_to_sub.latency.qos1.mean	824.0
1589397734	mqtt.message.pub_to_sub.latency.qos1.min	360
1589397734	mqtt.publisher.qos1.puback.latency.99	879.0
1589397684	mqtt.message.pub_to_sub.latency.qos1.99	1540.0
1589397684	mqtt.message.pub_to_sub.latency.qos1.75	896.0
1589397684	mqtt.publisher.qos1.puback.latency.max	1788
1589397684	mqtt.message.pub_to_sub.latency.qos1.90	1050.0
1589397684	mqtt.connection.current_total	20
1589397684	mqtt.message.published.total.rps	208.9104709782712
1589397684	mqtt.publisher.qos2.pubrec.waiting.rps	0.0
1589397694	mqtt.message.pub_to_sub.latency.qos1.50	785.0
1589397734	mqtt.message.pub_to_sub.latency.qos1.95	1110.0
1589397684	logs.written.rps	3.1955712577938233
1589397734	mqtt.message.pub_to_sub.latency.qos1.999	6140.0
1589397684	mqtt.connection.connack.latency.95	2.88e4
1589397684	mqtt.message.published.total	2092
1589397684	mqtt.connection.connack.latency.999	2.89e4
1589397684	mqtt.consumer.suback.latency.90	1390.0
1589397684	mqtt.consumer.suback.latency.75	1310.0
1589397684	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.max	211
1589397684	mqtt.connection.current_total.rps	1.9972320361211398
1589397684	mqtt.publisher.qos2.pubrec.waiting	0
1589397684	mqtt.consumer.suback.latency.999	1560.0
1589397684	mqtt.publisher.qos2.pubrec.in.total.rps	0.0
1589397684	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.75	5.0
1589397684	mqtt.publisher.qos1.puback.waiting.rps	0.09986160180605698
1589397684	errors.system	0
1589397684	mqtt.publisher.qos1.puback.in.total.rps	208.81060937646515
1589397684	mqtt.connection.reconnects.rps	0.0
1589397684	mqtt.consumer.qos1.publish_in_to_puback_out.internal_latency.99	19.0
1589397684	mqtt.publisher.qos1.puback.latency.95	642.0
1589397684	mqtt.publisher.qos1.puback.latency.90	573.0
1589397684	mqtt.publisher.qos1.puback.waiting	1
1589397684	mqtt.connection.connack.latency.90	2.88e4
1589397684	mqtt.publisher.qos2.pubcomp.waiting.rps	0.0
1589397684	mqtt.publisher.qos1.puback.latency.min	237
1589397684	mqtt.connection.connack.latency.mean	2.7e4
1589397684	mqtt.connection.connack.latency.max	28928
1589397684	mqtt.consumer.suback.latency.95	1560.0
1589397684	mqtt.connection.connack.latency.99	2.89e4
1589397704	mqtt.publisher.qos1.puback.latency.mean	445.0
1589397694	mqtt.consumer.current_total	10
